	cluster	degree
Bcl7b	3	2669
Bcl7c	0	1846
Bcl9	2	1602
Bclaf1	2	1739
Bclaf3	1	2742
Bcor	2	159
Bcr	1	951
Bdh1	4	42
Bdkrb2	1	319
Becn1	3	16
Bend3	4	15
Bend5	2	322
Best3	4	50
Bet1	3	804
Bet1l	3	2762
Bex1	0	242
Bex3	0	50
Bfar	0	823
Bgn	1	1647
Bhlhb9	2	184
AABR07060872.1	1	14
Bhlhe40	4	38
Adprhl1	4	7
Bhlhe41	4	86
Bhmt	5	25
Bicc1	1	2832
Bicd2	0	695
Bicra	0	995
Bicral	2	1235
Bid	0	1548
Bin1	4	97
Bin2	1	1309
Bin3	1	2232
Birc2	2	274
Birc3	0	1721
Birc6	2	667
Bivm	0	860
Blcap	0	64
Bles03	3	1755
Blm	3	194
Blmh	3	1312
Blnk	1	1857
Bloc1s1	0	233
Bloc1s2	0	441
Bloc1s3	3	486
Bloc1s4	1	883
Bloc1s5	0	1455
Blvra	1	10
Blvrb	0	978
Blzf1	0	350
Bmf	1	87
Bmi1	0	898
Bmp1	1	930
Bmp2	1	194
Bmp2k	3	2330
Bmp3	1	1234
Bmp4	0	54
Bmp5	4	6
Bmp6	1	155
Bmper	1	84
Apod	1	15
Bmpr1a	0	15
Bmpr1b	0	697
Bmpr2	0	97
Bms1	2	1249
AABR07002065.2	2	11
Bmt2	0	69
Bmyc	0	73
Bnc2	0	7
Bnip1	0	4
Bnip2	3	942
Bnip3	0	981
Bnip3l	0	2641
Boc	1	2584
Bod1	0	1059
Bod1l1	2	244
Bok	1	1150
Bola1	0	12
Bola2	3	412
Bola3	0	35
Bop1	0	852
Borcs5	2	687
Borcs8	0	807
Bpgm	4	67
Bphl	0	446
Bpnt2	0	181
Bptf	2	1480
Braf	2	1668
Brap	3	1369
Brat1	1	2534
Brcc3	0	1844
Brd1	1	2614
Brd2	2	1094
Brd3	0	1393
Brd4	2	786
Brd7	3	1510
Brd8	2	1772
Brd9	2	2169
Brf1	2	1234
Arglu1	2	16
Ascl3	2	20
Brf2	3	2310
Bri3	0	1723
Bri3bp	1	1765
Brix1	3	1026
Brk1	3	1423
Brme1	0	631
Brms1	0	2092
Brms1l	0	429
Brox	3	532
Brpf1	0	2174
Brpf3	0	981
Brwd1	0	1463
Brwd3	2	1443
Bscl2	3	748
Bsdc1	0	1629
Bsg	0	456
Bst1	1	2573
Bst2	1	1021
Btaf1	2	1596
Btbd1	0	16
Btbd10	3	1744
Btbd19	1	1787
Btbd2	2	588
Btbd3	1	224
Btbd6	4	41
Btbd7	2	1977
Btbd8	2	315
Btbd9	0	865
Btd	1	317
Btf3	0	1962
Btf3l4	0	1397
Btg1	1	3061
Btg2	2	256
Btg3	1	1752
Btk	1	1565
Btla	2	85
Btn2a2	2	865
Btnl9	1	182
Btrc	0	1203
Bub3	3	1695
Bud13	3	2978
Bud23	0	1665
Bud31	3	201
Bysl	0	1107
Bzw1	4	27
Bzw2	0	1068
C10H5orf58	2	2
C1d	0	478
C1galt1	3	564
C1galt1c1	3	1837
C1qa	1	1979
C1qb	1	2451
C1qbp	0	1394
C1qc	1	2250
C1qtnf1	1	2666
C1qtnf2	1	569
C1qtnf5	1	81
C1qtnf6	1	865
C1qtnf9	1	97
C1r	1	2596
C1rl	1	1902
C1s	1	2307
C2cd2	0	51
C2cd2l	1	1373
C2cd3	2	1651
C2cd5	4	8
C3	5	20
C3ar1	1	2092
C4a	1	2395
C4b	1	2346
C5ar2	1	1796
C6	1	1139
C8b	2	78
Ca11	0	201
Ca4	1	79
Ca5b	1	1246
Ca8	1	32
Caap1	1	884
AABR07071891.2	2	18
Cab39	0	1168
Cab39l	0	420
Cabin1	1	583
Cables1	1	1621
Cables2	2	960
Cachd1	1	1433
Arl4d	1	10
Cacna1a	4	6
Cacna1c	1	1018
Cacna1s	4	150
Cacna2d1	4	56
Cacnb1	0	351
Cacnb3	2	2
Cacng1	4	45
Cacng6	4	36
Cacng7	4	37
Cactin	3	1659
Cacul1	0	282
Cacybp	0	438
Cad	2	3489
