	cluster	degree
Arhgdig	0	732
Arhgef1	2	392
Arhgef10	1	2478
Arhgef10l	3	2290
Arhgef11	2	2668
Arhgef12	5	164
Arhgef17	0	1509
Arhgef18	2	2720
Arhgef19	0	79
Arhgef2	0	1227
Arhgef25	0	1008
Arhgef26	3	2677
Arhgef28	0	1295
Arhgef3	2	172
Arhgef33	3	2271
Arhgef37	3	2405
Arhgef4	0	542
Arhgef40	3	3292
Arhgef5	1	47
Arhgef6	1	586
Arhgef7	0	243
Arhgef9	0	1647
Arid1a	0	253
Arid1b	2	404
Arid2	2	2613
Arid3a	2	1048
Arid3b	2	529
Arid4a	2	491
Arid4b	2	2136
Arid5a	1	13
Arid5b	0	1440
Arih1	2	2593
Arih2	2	2116
Arl1	4	905
Arl10	0	362
Arl11	1	28
Arl13b	5	81
Arl14ep	2	1041
Arl15	0	1214
Arl16	4	15
Arl2	1	365
Arl2bp	0	5
Arl3	5	84
Arl4a	2	262
Arl4c	3	2825
Arl4d	0	171
Arl5a	2	1724
Arl5b	2	1943
Arl6	2	27
Arl6ip1	4	2137
Arl6ip4	4	71
Arl6ip5	3	1756
Arl6ip6	3	2214
Arl8a	0	771
Arl8b	2	689
Armc1	4	247
Armc10	0	1408
Armc2	2	275
Armc5	1	1547
Armc6	4	72
Armc7	2	780
Armc8	2	324
Armc9	2	739
Armcx1	3	2194
Armcx2	0	557
Armcx3	4	247
Armcx4	2	687
Armcx5	0	563
Armcx6	1	133
Armh3	3	1334
Armh4	3	3195
Armt1	4	742
Arnt	2	2537
Arnt2	0	1562
Arntl	2	184
Arntl2	5	79
Arpc1a	0	84
Arpc1b	1	209
AABR07044383.1	1	47
Arpc2	0	462
Arpc3	0	185
Arpc4	0	341
Arpc5	0	617
Arpc5l	3	130
Arpin	3	2635
Arpp19	0	1331
Arpp21	0	1285
Arrb1	0	1372
Arrb2	4	222
Arrdc2	1	768
AC128848.1	1	36
Arrdc3	1	1203
Arsa	1	260
Arsb	0	77
Arsg	3	2250
Arsk	3	1112
Arv1	4	158
Arvcf	0	327
Arx	0	1362
As3mt	1	639
Asah1	3	2832
Asah2	1	213
Asap1	0	1448
Asap2	2	724
Asap3	1	278
Asb1	0	1533
Asb13	2	387
Asb2	0	1115
Asb3	3	2428
Asb6	4	731
Asb7	2	1394
Asb8	4	1563
Ascc1	3	2244
Ascc2	2	428
Ascc3	2	1224
Ascl1	0	1259
Ascl2	0	890
Ascl3	0	253
Asf1a	3	2775
Asgr1	3	1621
Asgr2	1	89
Ash1l	0	336
AC120096.3	5	6
Ash2l	3	2809
Asic1	2	1297
Asic2	0	1143
Asic4	0	1041
Asl	1	372
Asmtl	4	32
Asns	0	46
Asnsd1	4	501
Aspa	1	229
Aspdh	0	83
Aspg	3	115
Asph	3	2555
Asphd1	4	75
Asphd2	0	1330
Aspn	1	15
Aspscr1	4	35
Asrgl1	0	386
Ass1	1	128
Aste1	2	19
Astn1	0	1681
Astn2	3	2121
Asxl1	2	429
Alg8	2	16
Asxl2	2	1220
Asxl3	0	1449
Atad1	2	1168
Atad2	0	469
Atad2b	3	2084
Atad3a	4	241
Atad5	2	2507
Atat1	0	177
Atcay	0	1512
Ate1	2	3468
Atf1	1	1903
Atf2	0	1186
Atf3	1	157
Atf4	3	1943
Atf5	1	221
Atf6	2	2921
Atf6b	0	404
Atf7	2	2305
Atf7ip	2	1407
Atg10	5	388
Atg101	4	262
Atg12	2	147
Atg13	0	546
Atg14	3	2458
Atg16l1	0	712
Atg16l2	0	316
Atg2a	2	2283
Atg2b	2	328
Atg3	3	2713
Atg4b	4	1163
Atg4c	3	2068
Atg4d	3	2321
Atg5	3	3097
Atg7	2	706
Atg9a	4	521
Atic	1	744
Atl1	0	1424
Atl2	3	3181
Atl3	1	777
Atm	2	527
Atmin	2	2105
Atn1	0	63
Atoh8	2	6
Atox1	1	5
Atp10a	1	604
Atp10b	1	814
Atp10d	1	49
Atp11a	1	2124
Atp11b	2	295
Atp11c	3	3018
Atp13a1	2	1297
Atp13a2	0	382
Atp13a3	2	2050
Atp13a4	1	182
Atp13a5	0	76
Atp1a1	2	283
Acbd4	2	15
Atp1a2	1	212
Atp1a3	4	589
Atp1b1	4	806
Atp1b2	3	2188
Atp1b3	1	2573
Atp23	3	1755
Atp2a2	2	1013
Atp2a3	3	2896
Atp2b1	0	1317
Atp2b2	0	117
Atp2b3	3	2942
Atp2b4	0	1646
Ankrd42	0	27
Atp2c1	0	304
Atp5f1a	4	1606
Atp5f1b	4	1360
Atp5f1d	4	887
Atp5mc2	4	723
Atp5mc3	4	1051
Atp5me	4	134
Atp5mg	3	894
Atp5mk	1	22
Atp5pb	3	1182
Atp5pd	4	457
Atp5pf	4	162
Atp5po	3	1232
Atp6ap1	4	434
Atp6ap1l	0	1125
Atp6ap2	0	347
Atp6v0a1	0	648
Atp6v0c	0	394
Atp6v0d1	4	294
Atp6v0e2	4	151
Atp6v1a	4	502
Atp6v1b1	5	358
Atp6v1b2	4	416
Atp6v1c1	0	230
Atp6v1c2	0	944
Atp6v1d	0	658
Atp6v1e1	4	179
AABR07057237.1	4	19
Atp6v1fnb	1	113
Atp6v1g1	1	567
Atp6v1g2	0	623
Atp6v1h	4	104
Atp7a	1	1228
Atp7b	1	191
Atp8a1	0	678
Atp8a2	4	266
Anxa6	4	30
Atp8b2	0	706
